yahoo_ticker,mean_p_completed,min_p_completed,n_trials,n_risky,phase,market_cap
MLYS,0.992977,0.992977,1,0,P3,2407608014.408293
LXRX,0.991748,0.991748,1,0,P3,977232079.180934
RNXT,0.987235,0.987235,1,0,P3,38785255.025148
PHAT,0.973273,0.973273,1,0,P2,881303295.862241
ACER,0.968577,0.968577,1,0,P3,
ARDX,0.942735,0.812867,4,0,P3,1309255798.217116
VTVT,0.940999,0.940999,1,0,P3,129502944.000000
HROW,0.927575,0.927575,1,0,P1,1600220354.885460
SIGA,0.909577,0.909577,1,0,P2,246730896.000000
HARP,0.908300,0.908300,1,0,P1,
VERU,0.897628,0.897628,1,0,P2,38199764.000000
GPCR,0.865286,0.776806,4,0,P2,3526717408.004227
CRBU,0.848500,0.848500,1,0,P1,171582396.641719
UTHR,0.848374,0.848374,1,0,P3,22737440768.000000
ABUS,0.831200,0.831200,1,0,P1,900771946.296802
CGTX,0.830617,0.830617,1,0,P2,84933616.320352
BRTX,0.830495,0.830495,1,0,P2,8662578.231117
VKTX,0.829000,0.814800,2,0,P3,4305197568.000000
KOD,0.818763,0.409051,4,0,P3,2654577352.635452
XENE,0.818169,0.264381,8,1,P3,6598390784.000000
BMEA,0.817542,0.771600,4,0,P2,93266274.841995
VCEL,0.816800,0.790400,2,0,P3,2381822208.000000
VOR,0.802600,0.790400,2,0,P3,980222528.000000
ANTX,0.792800,0.792800,1,0,P1,168195474.617815
HCWB,0.792800,0.792800,1,0,P1,6866451.004575
SGMT,0.792800,0.792800,1,0,P1,482899136.000000
GLUE,0.792800,0.792800,1,0,P1,1977663162.489464
PMN,0.792800,0.792800,1,0,P1,125637380.982542
SLNO,0.790400,0.790400,1,0,P3,
ELDN,0.789813,0.789813,1,0,P2,310295046.987759
NKTX,0.785150,0.706500,4,0,P1,190310658.420787
ALLO,0.782600,0.706500,3,0,P1,655793657.670874
SUPN,0.778250,0.721300,2,0,P2,2788228096.000000
CADL,0.773178,0.585100,5,0,P3,706325129.115340
CYTK,0.772801,0.350900,5,0,P3,11217366766.565071
OCUL,0.772675,0.641500,4,0,P3,2180845174.032675
ARTV,0.771600,0.771600,1,0,P1,481994927.866985
TENX,0.770333,0.730200,3,0,P3,420423808.000000
CLDX,0.760635,0.351675,8,0,P3,3007031386.112457
TGTX,0.760550,0.654200,6,0,P3,8399695872.000000
MRKR,0.753833,0.706500,3,0,P1,23509108.513474
JSPR,0.752300,0.733000,2,0,P2,19382782.195989
VERV,0.749650,0.706500,2,0,P1,
DTIL,0.749650,0.706500,2,0,P1,227317806.897054
DSGN,0.746600,0.654200,3,0,P2,844418317.070534
MRNA,0.741336,0.510900,25,0,P3,27092565280.161774
TOVX,0.736250,0.679700,2,0,P2,11060133.000000
PTCT,0.735106,0.251944,3,1,P3,6539725504.150452
LLY,0.734897,0.232310,16,2,P3,1031414866775.986084
FGEN,0.733000,0.733000,1,0,P2,
AVXL,0.733000,0.733000,1,0,P2,231679395.000000
PEPG,0.732500,0.654200,2,0,P2,166006122.596490
PFE,0.731185,0.365642,20,0,P3,141460202535.247681
OCGN,0.730160,0.543900,5,0,P3,484086236.323822
TNGX,0.728565,0.622160,4,0,P1,4649986560.000000
IMNM,0.728183,0.679700,3,0,P2,2595699039.120319
BEAM,0.728075,0.706500,4,0,P1,3172794975.458122
DYN,0.725250,0.472200,4,0,P3,3965877928.202675
APGE,0.723800,0.642900,4,0,P2,10155925821.501541
DNLI,0.719086,0.629700,7,0,P2,3653498218.391552
SLDB,0.715925,0.636400,4,0,P3,858480640.000000
WVE,0.715000,0.654200,4,0,P2,1119780864.000000
APRE,0.714600,0.636400,2,0,P1,8643177.819232
CNSP,0.713693,0.713693,1,0,P2,6839581.069126
CRNX,0.712631,0.439104,9,0,P3,8879995710.199379
PCSA,0.708920,0.708920,1,0,P2,6615596.770378
SABS,0.708100,0.708100,1,0,P3,276800011.529379
GNPX,0.707250,0.642900,2,0,P1,247872.591500
BTAI,0.706500,0.706500,1,0,P1,28469151.530252
STRO,0.706500,0.706500,1,0,P1,390565248.000000
ADCT,0.706500,0.706500,1,0,P1,162804678.601032
VCNX,0.706500,0.706500,1,0,P1,3078132.000000
ARQT,0.706500,0.706500,1,0,P1,3474816215.607937
CBIO,0.706500,0.706500,1,0,P1,432097509.853792
SNSE,0.706500,0.706500,1,0,P1,18585884.000000
VYGR,0.706500,0.706500,1,0,P1,191535488.000000
SONN,0.706500,0.706500,1,0,P1,
ANNX,0.706300,0.661600,2,0,P3,1064976497.000000
ACAD,0.703375,0.571333,5,0,P3,4438433763.464260
ENTA,0.699681,0.679700,2,0,P2,384706954.088974
CHRS,0.699075,0.522400,4,0,P2,222119864.826250
MGNX,0.691475,0.543900,4,0,P2,274592702.271333
VIR,0.690237,0.629700,8,0,P3,1590388096.000000
LYEL,0.688933,0.567500,3,0,P3,349432150.688602
VERA,0.688550,0.642900,4,0,P3,2763641856.000000
ADVM,0.687875,0.496400,4,0,P3,
GERN,0.684872,0.435684,3,0,P3,910959755.548907
PYXS,0.683133,0.636400,3,0,P1,153953825.489435
VTGN,0.681983,0.632176,3,0,P3,9404638.000000
AVIR,0.681870,0.466456,4,0,P3,388931711.824770
ARCT,0.681350,0.629700,2,0,P2,181623407.115111
YMAB,0.680133,0.654200,3,0,P2,
ENGN,0.679700,0.679700,1,0,P1,127279983.802847
CERO,0.679700,0.679700,1,0,P1,541348.876706
TELO,0.679700,0.679700,1,0,P2,76340208.000000
ABSI,0.679700,0.679700,1,0,P1,1653347288.852659
RZLT,0.679600,0.679600,1,0,P3,456425626.900434
SYRE,0.679167,0.664300,3,0,P2,8704099328.000000
ALGS,0.675850,0.664300,4,0,P2,35706046.591969
ALNY,0.675670,0.629700,10,0,P3,37268701582.970581
QTTB,0.675500,0.629700,2,0,P2,266215712.265821
BIVI,0.673237,0.534553,2,0,P2,13349054.886151
IKT,0.672038,0.459700,2,0,P3,323487221.174520
ZYME,0.671450,0.636400,2,0,P1,1779753728.000000
QURE,0.671450,0.636400,2,0,P1,2818926218.000000
VRDN,0.670075,0.641500,4,0,P3,1991011200.000000
CNTA,0.669225,0.510900,4,0,P2,6266618014.500000
TRDA,0.668600,0.636400,3,0,P2,267474032.000000
RYTM,0.668329,0.473100,7,0,P3,7524029299.524780
BBIO,0.668006,0.373169,10,0,P3,16189890980.985291
RAPT,0.666700,0.666700,1,0,P2,
EXEL,0.664592,0.354361,12,0,P3,13962774668.881290
HOTH,0.664300,0.664300,1,0,P2,26013594.480000
BMY,0.663866,0.306408,82,0,P3,119910426116.602753
IMNN,0.660167,0.567500,3,0,P3,8110087.519590
NXTC,0.659767,0.636400,3,0,P1,26977145.595654
FDMT,0.658888,0.597600,5,0,P3,610586662.673447
AGEN,0.658672,0.516409,4,0,P2,208628588.841196
ONC,0.657239,0.379309,30,0,P3,32293604816.615479
PGEN,0.656040,0.510900,5,0,P2,1825336176.800556
LTRN,0.655097,0.496229,3,0,P2,39553351.383193
IGC,0.654200,0.654200,1,0,P2,28178867.019728
MAZE,0.654200,0.654200,1,0,P2,1626597187.009933
TYRA,0.653767,0.510900,6,0,P2,1910783360.000000
GILD,0.652919,0.472200,56,0,P3,163514748616.829437
VRNA,0.652074,0.377618,3,0,P2,
BMRN,0.651536,0.482076,15,0,P3,11394117767.564323
MNKD,0.650700,0.522900,3,0,P2,1263606226.082054
ORKA,0.649940,0.625500,5,0,P2,5226043643.678963
DAWN,0.649040,0.469655,3,0,P3,
