yahoo_ticker,mean_p_completed,min_p_completed,n_trials,n_risky,phase
AARD,0.3932977408014891,0.2920749962516761,4,1,P2
ABBV,0.443305532317025,0.08996495461326937,502,73,P3
ABCL,0.40850727013427746,0.30849865772601126,5,0,P3
ABEO,0.4263490971539846,0.28674892698126153,5,1,P3
ABOS,0.4986213132136026,0.25884949718866074,2,1,P1
ABUS,0.37049001807888365,0.27120199344184254,4,1,P2
ABVC,0.29392134408856835,0.29392134408856835,1,1,P2
ACAD,0.3373391907994425,0.13917733656391415,24,12,P3
ACER,0.5752093616419632,0.41288486292451954,3,0,P1
ACHV,0.5652109691953302,0.39639940869353774,9,0,P3
ACRS,0.34775435133156846,0.20461604026532804,19,6,P3
ACTU,0.3761285546500486,0.22571331514455126,3,1,P2
ACXP,0.18347581643458183,0.18347581643458183,1,1,P2
ADCT,0.3657260759146351,0.15176704910799374,16,4,P2
ADIL,0.30489605867944286,0.30489605867944286,1,0,P3
ADMA,0.48247463005883856,0.48247463005883856,1,0,P1
ADPT,0.5577771468023327,0.4516099977353301,9,0,P2
ADTX,0.7396432809363684,0.7396432809363684,1,0,P1
ADVM,0.37403574249742766,0.23230560593084523,4,2,P2
AEON,0.38315162307916256,0.22686021531982006,6,2,P2
AERI,0.4822001337637217,0.24341689030765024,14,2,P3
AGEN,0.40047559331345367,0.19525442748357175,9,1,P2
AGIO,0.5234665900207816,0.2307441915623816,25,4,P3
AKBA,0.3501497340353115,0.18849817577368408,14,3,P3
AKTX,0.37348502249600246,0.26434793246973204,5,1,P3
ALBO,0.23046288305112317,0.16539875267320409,3,2,P3
ALDX,0.527991894846595,0.2227675429890915,26,1,P3
ALEC,0.33870956701377125,0.1508479800924322,10,3,P3
ALGS,0.4623634233116439,0.25825717397319103,11,2,P2
ALKS,0.437361465473547,0.20558672288291552,24,3,P3
ALLO,0.43129158645533555,0.3422930686982998,3,0,P2
ALLR,0.41343674539731373,0.1697457811103292,5,1,P2
ALMS,0.4751028541630771,0.19277373221130428,9,1,P3
ALNY,0.40431869233022777,0.17461241324342439,33,7,P3
ALPN,0.3938606708716714,0.2816543335639675,6,1,P1
ALT,0.47251989736621425,0.3516241238926855,13,0,P2
ALXO,0.44490983213530655,0.37725959520377633,5,0,P1
ALZN,0.36669591625940845,0.36669591625940845,1,0,P1
AMGN,0.42038212724034885,0.08928456654374772,386,77,P3
AMLX,0.39109285719196857,0.17537754333949424,7,2,P3
AMPH,0.7347406863530207,0.6304743099225407,3,0,P3
AMRN,0.4657439029552668,0.42673871102010785,3,0,P3
AMRX,0.4920015702141936,0.4920015702141936,1,0,P1
AMTI,0.29853044984129756,0.11323169620873712,4,2,P2
ANAB,0.2663281093510514,0.23910717656062447,3,2,P2
ANEB,0.34121802092828224,0.34121802092828224,1,0,P2
ANIK,0.3931905667885886,0.3435000554927925,9,0,P3
ANNX,0.4358255727431281,0.3254803641724993,12,0,P3
ANRO,0.3761766821219941,0.29048612206562135,7,1,P2
ANTX,0.5364268422592201,0.23617274119440718,6,1,P2
ANVS,0.2908610571426735,0.2675422582887403,4,3,P3
APGE,0.3774410814090892,0.3774410814090892,1,0,P1
APLS,0.34612961921687596,0.09722232239141347,19,7,P3
APLT,0.4522055841301779,0.3914313888603931,2,0,P2
APRE,0.36109891729013543,0.2490000663956925,9,3,P3
AQST,0.6097488066951939,0.45880559051833286,4,0,P3
ARCT,0.4198111756243297,0.2319777616923278,12,1,P3
ARDX,0.43263244518078897,0.3354524770404612,7,0,P3
ARMP,0.2411494949307962,0.19588887279405573,3,2,P2
ARQT,0.4098049957714149,0.2351235555084277,23,3,P3
ARTV,0.2908319981644506,0.1657849883622643,2,1,P2
ARVN,0.34797456939189386,0.2925773695541167,2,1,P2
ARWR,0.3489515109729027,0.21963822736220698,19,7,P3
ASBP,0.5246942391103645,0.5246942391103645,1,0,P1
ASMB,0.41454199637091405,0.14142437951158762,19,8,P2
ASRT,0.34149491897227274,0.34149491897227274,1,0,P2
ATHA,0.41709821155981924,0.12661492440049457,8,2,P2
ATNF,0.3405431854469176,0.3405431854469176,1,0,P2
ATNM,0.44829273869287156,0.44829273869287156,1,0,P1
ATOS,0.450101876085481,0.4217546213984534,2,0,P2
ATRA,0.4228165266115066,0.28496782507053364,7,2,P2
ATYR,0.23250118432683353,0.22343734948974425,2,2,P2
AUPH,0.4554555556718741,0.22525714164031133,10,3,P3
AURA,0.4561548382166052,0.25776040268948197,4,1,P2
AUTL,0.43157928726989786,0.3315617060384968,4,0,P1
AVDL,0.4469684723443999,0.3979412251963202,3,0,P3
AVIR,0.6032686213760649,0.13907423897462687,29,4,P3
AVTX,0.3371485128513039,0.25769324915563774,4,1,P2
AVXL,0.37961571599893806,0.19513076593656545,11,4,P3
AYTU,0.5207910357852907,0.5207910357852907,1,0,P1
AZTR,0.4266963873796987,0.4266963873796987,1,0,P1
BBIO,0.3789427306150809,0.058577112603423076,17,5,P3
BCRX,0.3405533231110822,0.18443805475177744,14,6,P3
BCYC,0.4041266340293029,0.3392304020881407,2,0,P1
BDTX,0.27932675126539014,0.27932675126539014,1,1,P1
BEAM,0.6725277306201094,0.6478639758807497,2,0,P1
BFRI,0.39086174556656206,0.3369501260905214,4,0,P2
BHC,0.4588352911767153,0.15579234157389427,30,3,P3
BHVN,0.43864189196230813,0.06414705053986712,18,3,P3
BIIB,0.4496746720107028,0.10024047185621059,168,27,P3
BIOA,0.5328423314102292,0.29008519120102993,3,1,P2
BIVI,0.34250347094274697,0.10243923378211862,6,2,P3
BMEA,0.282024507630206,0.11909076041177169,5,3,P2
BMRN,0.47420133051438335,0.33510964448645647,36,0,P3
BMY,0.46329743560444964,0.060260661543983574,802,83,P3
BOLD,0.3355499976966593,0.3355499976966593,1,0,P1
BOLT,0.3568776288735149,0.22223024855336537,5,1,P2
BTAI,0.44782932274759946,0.19085598421114178,13,2,P3
BTTX,0.483912260115563,0.4428434662778163,3,0,P3
BYSI,0.4397396767147795,0.400592851145239,3,0,P3
CABA,0.37878039377043937,0.37878039377043937,1,0,P1
CADL,0.4010825411065413,0.31810875143863776,2,0,P1
CAPR,0.40597930475266675,0.21754273148677886,4,1,P2
CCCC,0.31323507264611167,0.2870020357591904,2,1,P1
CDXS,0.3888168146835198,0.3888168146835198,1,0,P1
CELC,0.42458151975700104,0.39142665449697184,2,0,P1
CELU,0.38070311402562346,0.21935858225542446,3,1,P1
CERE,0.6013120852259864,0.27598897888599266,23,1,P2
CGC,0.47836697740331047,0.28647419063461665,10,1,P2
CGON,0.39099556976909144,0.3718242623709512,2,0,P2
CGTX,0.4609730959543991,0.2668709634407547,8,1,P2
CHRS,0.3187218020809408,0.112602436615148,5,2,P2
CING,0.6293541949588584,0.3161870766242344,5,0,P3
CLDX,0.3735735442279855,0.19675115379393193,25,6,P2
CLRB,0.3720886390396937,0.33526845759728996,2,0,P1
CLSD,0.22840234896054964,0.1561081688857925,3,2,P2
CMMB,0.3757289456547596,0.25724535753970657,3,2,P2
CMPX,0.4188144837739799,0.3610830506487133,4,0,P2
CNTA,0.342733422803636,0.07335841659765426,11,5,P3
CNTX,0.37851480000070464,0.35520040293367844,3,0,P2
COCP,0.45212326353300425,0.41391715277118213,4,0,P2
COEP,0.44531654538689946,0.41057657508677875,2,0,P1
COGT,0.35207226116494894,0.20365281075153413,6,1,P1
COLL,0.33090440418315825,0.1496986967159887,2,1,P3
CPIX,0.42146634860324683,0.3056784883735408,7,0,P2
CPRX,0.44144666517124836,0.20912670370303055,13,2,P3
CRBP,0.38922743637357216,0.3399585608915521,4,0,P3
CRBU,0.24565538913268462,0.24565538913268462,1,1,P1
CRDF,0.38042241477313693,0.12521137189579734,5,1,P2
CRIS,0.4165901650860247,0.3070478076142134,7,0,P2
CRNX,0.4106319846281397,0.10814264696093254,9,4,P2
CRSP,0.42578175546936187,0.25785556907552276,9,1,P2
CRVO,0.34954468468785954,0.26128096209157853,2,1,P2
CRVS,0.346558665969547,0.11080228961751674,6,2,P3
CTMX,0.41847542483223044,0.29525097301132647,6,1,P2
CTOR,0.47194331971760206,0.3947340274717824,2,0,P3
CTXR,0.47194331971760206,0.3947340274717824,2,0,P3
CUE,0.3688090667684971,0.2741385977230885,3,1,P1
CVM,0.478277365496924,0.478277365496924,1,0,P3
CYCN,0.5395319954717667,0.18849817577368408,6,3,P2
CYTK,0.3939895071418611,0.21294831325942348,15,3,P3
DARE,0.46835590277667094,0.24950483986905891,9,1,P3
DAWN,0.3429206007521816,0.21007822778893834,3,1,P2
DERM,0.5985609400946601,0.47888915546728167,5,0,P3
DMAC,0.3734871965593555,0.3278311450464834,3,0,P2
DNLI,0.539406913663864,0.22673735205749615,15,1,P3
DRMA,0.5708744576642397,0.5476415789001168,2,0,P3
DRRX,0.358148799362005,0.24610444143190974,6,4,P3
DSGN,0.4921415904634898,0.4686643553178907,2,0,P1
DTIL,0.35429247290930566,0.31482603172362916,4,0,P1
DVAX,0.4237309243186653,0.326862306641182,8,0,P3
DYN,0.5384760888183475,0.5384760888183475,1,0,P3
EBS,0.47833491269268347,0.10356232879938417,20,2,P3
EDIT,0.42433577114445886,0.42433577114445886,1,0,P1
EDSA,0.30449749736556014,0.30449749736556014,1,0,P2
ELDN,0.20726860117681728,0.15234278944153032,2,2,P2
ENSC,0.6259476829903646,0.36555391812946836,6,0,P2
ENTA,0.5014172123949728,0.11668378741424176,27,8,P2
EOLS,0.44567830008186776,0.4059027603587857,4,0,P2
EPIX,0.346314395285315,0.2985509812578485,3,1,P2
EQ,0.27039044602952533,0.13917318278795207,5,3,P3
ERAS,0.3145237184162081,0.18883550291300005,2,1,P1
ESPR,0.4183782660321234,0.1719721116326415,5,1,P3
EWTX,0.586340209778464,0.3400971044562819,9,0,P1
EXEL,0.4281269769704427,0.16736512748344265,28,1,P3
EYPT,0.348585483731752,0.1795793966583143,11,6,P3
FBLG,0.44258749716667856,0.44258749716667856,1,0,P1
FBRX,0.5498055235355269,0.36801375918831564,13,0,P2
FDMT,0.5316433841853694,0.5316433841853694,1,0,P1
FGEN,0.3800751298955952,0.16112110371117175,18,6,P3
FHTX,0.35882313150545864,0.2917687781339828,3,1,P2
FOLD,0.4714370631398708,0.2874896528118006,12,1,P3
FTRE,0.4169947843997234,0.12412058868327559,9,2,P3
FULC,0.4040439489569797,0.20477445106931888,8,3,P3
GALT,0.3543674895460411,0.2607684573020467,3,2,P2
GILD,0.4345897599692706,0.09797960040302381,286,45,P3
GLUE,0.5054388684892909,0.5054388684892909,1,0,P1
GNLX,0.44521077028684825,0.3816128721956159,3,0,P1
GNPX,0.34650924846367814,0.34650924846367814,1,0,P1
GOVX,0.4033865985129601,0.36732731806196106,2,0,P1
GRCE,0.5173081053129615,0.31741115131036624,5,0,P3
GRTS,0.4281817216120575,0.26942830944407886,7,1,P1
GTBP,0.32639447570657304,0.32639447570657304,1,0,P1
GUTS,0.37513994671677503,0.30278412907784835,3,0,P1
HALO,0.3519441948320378,0.16461217349432147,7,3,P3
HLVX,0.489918156220377,0.37169754401386146,4,0,P2
HOTH,0.3551733084103695,0.3551733084103695,1,0,P1
HROW,0.6852847257745366,0.5012907439125774,3,0,P1
HRTX,0.40262689666310686,0.28039678953442293,9,1,P3
HUMA,0.44338247852631324,0.3574409799522147,5,0,P3
HURA,0.4624567036998588,0.40536114496363684,3,0,P1
IBRX,0.4448996165865999,0.016225573632462333,22,3,P3
ICU,0.45078036058085064,0.45078036058085064,1,0,P1
IGC,0.4295871729730904,0.4295871729730904,1,0,P1
IKT,0.5134530251870909,0.5134530251870909,1,0,P1
IMCR,0.3779450742438455,0.1785787788491441,4,1,P2
IMNM,0.6139485173901049,0.3880114703827638,7,0,P1
IMNN,0.41400397056870086,0.2473830485904473,2,1,P3
IMRX,0.4948397703931835,0.3324866029556497,2,0,P3
IMUX,0.4182793573159301,0.33827150181622534,4,0,P2
IMVT,0.30626150698933036,0.12655567493957734,8,5,P3
INBX,0.30004858294136094,0.18591055275391888,2,1,P1
INCY,0.3990075956481911,0.06885931634655869,189,40,P3
INDV,0.5019975899756003,0.36060177872621657,19,0,P3
INKT,0.3452359311559097,0.2658186379019314,3,1,P1
INM,0.18417555207889383,0.18417555207889383,1,1,P2
INMB,0.3585827942081628,0.286112177846052,6,1,P2
INO,0.42864488482254615,0.2032119178372326,21,2,P3
INSM,0.4731733447330486,0.15714169575212145,23,8,P3
INTS,0.46779805021750154,0.46779805021750154,1,0,P1
IOBT,0.3765438470735126,0.2877112815174332,5,1,P2
IONS,0.39676938215744423,0.1484478763288799,53,13,P3
